source_id,source_subject,source_text,source_field,target_subject,target_field
7,What causs a volcano to erupt?,"Magma rises from deep in the earth.
The magma goes into volcanos.
The volcanos pressure the magma upwards.
The pressure causes the magma to push through the surface of the volcano.
The lava cools.
The lava forms new rock.
New magma is pressured to the surface of the volcano.
The volcano bursts through the rock the formed after the last eruption.",Geology,What causes a tornado to form?,Atmospheric Science
11,What happens during erosion by the ocean?,"Water from the ocean washes onto beaches in waves.
The waves contain sediment from the ocean.
The water and particles in it hit rocks and sand on the beach.
The wind and current sometimes push the water and particles harder.
Tiny parts of the rocks on the shore come off the larger rocks.
The waves pick up sand and small rocks from the beach.
The waves go back out into the ocean.
The waves carry the new particles with them.
Rocks and the beach look a little different.",Geology,What happens during erosion by rivers?,Hydrology
13,What happens during the water cycle?,"Water from oceans, lakes, swamps, rivers, and plants turns into water vapor.
Water vapor condenses into millions of tiny droplets that form clouds.
Clouds lose these droplets through rain or snow, also caused precipitation.
Precipitation is either absorbed into the ground or runs off into rivers.
Water that was absorbed into the ground is taken up by plants.
Plants lose water from their surfaces as vapor.
The vapor goes back into the atmosphere.
Water that runs off into rivers flows into ponds, lakes, or oceans.
The water evaporates back into the atmosphere.",Earth Science,What happens during the photosynthesis process?,Plant Biology
14,What happens during the water cycle?,"Water from oceans, lakes, rivers, swamps, and plants turns into water vapor.
Water vapor forms droplets in clouds.
Water droplets in clouds become rain or snow and fall.
Some water goes into the ground.
Some water flows down streams into rivers and oceans.",Hydrology,What happens during the photosynthesis process?,Plant Biology
15,What happens during the water cycle?,"Water is on the earth in oceans, other bodies of water, and living creatures.
Water evaporates from the earth.
Water accumulates in the sky.
The water forms clouds in the sky.
Large amounts of water end up in bigger clouds as more water evaporates.
The clouds become heavy from all the water.
The water falls back to earth as rain or snow from the clouds.",Hydrology,What happens during the photosynthesis cycle?,Plant Biology
20,How is sediment transported across the Earth?,"Sediment settles in a place due to gravity.
The sediment breaks down into small particles.
Wind or water picks up the sediment.
The sediment travels along the same route as the wind or water.
The sediment is deposited at new locations by the wind or water.
The sediment is picked up again by new wind or water.
The sediment travels further.
The sediment is deposited again in a new place.",Geography,How is heat transported across the Earth?,thermodynamics
22,How are valleys formed?,"A large rocky area is formed.
The rocky area has a higher elevation than the surrounding areas.
Water from precipitation falls in the area.
The water forms a stream.
The stream flows towards lower elevation.
The stream becomes a river.
The river continues to flow along the same path for a long time.
The river erodes the rocky area that it touches.
The eroded area cuts deeply into the rock.",Geology,How are canyons formed?,Geology
31,How do caverns form?,"Limestone is located under the soil.
Rain picks up carbon dioxide as it falls to earth.
The rain falls on the soil over the limestone.
The carbon dioxide in the rain washes through the soil.
The carbon dioxide turns into acid.
The acid in the rain gets to the limestone below the soil.
The acid dissolves the limestone.
Acid continues to erode the limestone with more rain over time.
The eroded limestone sometimes forms caves.",Geology,How do rivers erode valleys?,Geomorphology
34,How does igneous rock form?,"Volcanos contain magma.
The magma is very hot.
The magma rises toward the surface of the volcano.
The magma cools.
The magma starts to harden as it cools.
The magma is sometimes released from the volcano as lava.
The magma or lava becomes a hard rock as it solidifies.",Geology,How does sedimentary rock form?,Geology
35,How does igneous rock form?,"Different kinds of rocks melt into magma.
Magma cools in the crust.
Magma goes to the surface and becomes lava.
Lava cools.
Cooled magma and lava become igneous rock.",Geology,How does sedimentary rock form?,geology
36,How does igneous rock form?,"Magma rises to the surface during a volcano.
The magma undergoes changes in temperature.
The magma undergoes changes in pressure.
The magma cools.
The magma solidifies.
The magma crystallizes.
Igneous rock is formed.",Geology,How does sedimentary rock form?,Geology
41,What causes an earthquake to occur?,"The earth develops cracks deep beneath the surface.
The cracks get very long and big in some places.
The earth places pressure against the rocks on both sides of the cracks.
The pressure causes the rocks to press against each other very hard.
The cracks continue to develop.
The earth moves against itself on both sides of the cracks.
The pressure and movement around the cracks causes the rocks to crumble in some places.
A lot of energy is released.
The energy causes seismic waves.
The seismic waves move the earth in an earthquake.",Geology,What causes a volcanic eruption to occur?,Volcanology
43,How does rain form?,"Oceans, lakes, and rivers contain water.
The sun heats up the water.
The water evaporates from the heat.
The water moves to the sky as steam or as invisible vapor.
The water forms clouds in the sky.
The clouds become larger as they are filled with more water.
The air is cooled.
Water forms droplets in the clouds.
The droplets fall to earth as rain.",Meteorology,How does snow form?,meteorology
45,How does rain form?,"Water evaporates from the ground up to the sky.
Water droplets are in clouds.
Droplets combine to form bigger drops in the clouds.
The drops get heavy.
Gravity makes the drops fall.",Meteorology,How does snow form?,Meteorology
48,What happens during a vocanic eruption?,"Pressure pushes up from inside the volcano.
Lava comes out of the volcano.
Ash clouds and rocks also come out of some volcanos.
The things that come out of the volcano cause disturbances in the environment.
The eruption lasts for a long time for some eruptions.
The volcano loses the built up pressure.
The lava and other debris stop coming out of the volcano.
Mudslides and ash clouds cause problems after some eruptions.",Geology,What happens during a hurricane?,Meteorology
50,How do minerals form?,"Magma comes up to the surface of the earth.
The magma cools.
Particles inside the magma move closer together.
Crystals are formed.
The crystals contain minerals.",Geology,How do crystals grow?,Mineralogy
51,How do minerals form?,"Magma moves closer to the Earth's crust.
The magma starts to cool.
The cooling causes atoms in the magma to condense.
The condensed magma solidifies.
The solidified magma forms minerals.",Geology,How do crystals form?,Mineralogy
52,How do earthquakes occur?,"Fault lines appear underground.
The fault lines grow over time.
The rocks on each side of the fault lines rub against the rocks on the other side of the fault line.
The rocks put pressure on each other.
The rocks break from the pressure.
The breaking of the rocks releases a lot of energy.
The energy causes seismic waves.
The seismic waves make the earth shake.",Geology,How do volcanoes erupt?,Volcanology
56,How does snow form?,"The air is cold.
Water is in the air.
The water forms tiny ice crystals.
The ice crystals collide with each other.
The ice crystals stick to each other.
The ice crystals get bigger as more of them stick together.
The ice crystals get too heavy to be in the air.
The ice crystals become snowflakes.
The snow flakes fall to the ground as snow.",Atmospheric Science,How does dew form?,Atmospheric Science
57,How does snow form?,"Water evaporates from the ground up to the sky.
Water droplets are in clouds.
The air gets cold.
Water droplets turn into ice crystals.
Ice crystals in clouds stick together and become snowflakes.",Meteorology,How does fog form?,Meteorology
58,How do floods happen?,"There is a lot of rain or a dam breaks.
Water levels of a river or lake get higher.
Water builds up on the ground.
Water covers streets.
Water gets deep in some places.
Water goes into houses and other buildings.
The rain stops or the dam is repaired.
Water flows into streams.
The rest of the floodwater evaporates.",Hydrology,What causes landslides?,Geology
61,How does sediment turn into sedimentary rock?,"Minerals fill spaces between bits of sediment.
The sediments become glued together.
The glued together parts become hard like cement.
The sediment becomes a big rock.
The rocks erode slowly.
The rocks come apart.
The rocks become smaller rocks.
The rocks continue to erode into smaller rocks.
The process starts again.",Geology,How does magma turn into igneous rock?,Petrology
64,How are ravines formed?,"An area is at a higher elevation than the surrounding area.
Rain falls.
Water is in the area of high elevation.
The water creates a stream.
The stream moves towards lower elevation.
The stream continues along the same path for a long time.
The soil and rocks erode where the stream touches them.
The stream moves deeper into the soil.
The stream is smaller than the eroded area.",Geology,How are canyons formed?,Geology
76,How does sedimentary rock form?,"Wind or water breaks small pieces off of a rock.
The wind or water deposits tiny rocks.
The rocks become known as sediment.
The layers of sediment are pressed together by other layers of sediment on top.
Minerals from the rocks in the sediment dissolve.
Minerals glue the sediment together into a single rock.",Geology,How does metamorphic rock form?,Geology
