source_id,source_subject,source_text,target_subject,target_text,target_mappings
7,What causs a volcano to erupt?,"Magma rises from deep in the earth.
The magma goes into volcanos.
The volcanos pressure the magma upwards.
The pressure causes the magma to push through the surface of the volcano.
The lava cools.
The lava forms new rock.
New magma is pressured to the surface of the volcano.
The volcano bursts through the rock the formed after the last eruption.",What causes an earthquake?,"Pressure builds under the Earth's crust.
The pressure causes the tectonic plates to move and collide.
The plates cause the Earth's crust to crack.
The pressure causes molten rock to be forced from the Earth's mantle.
The molten rock cools and forms new rock.
The pressure continues to build and the tectonic plates continue to move,
causing more cracks in the Earth's crust and more molten rock to be forced out.","Magma : molten rock
Volcano : Earth's crust
Lava : cooled rock
Eruption : earthquake"
7,What causs a volcano to erupt?,"Magma rises from deep in the earth.
The magma goes into volcanos.
The volcanos pressure the magma upwards.
The pressure causes the magma to push through the surface of the volcano.
The lava cools.
The lava forms new rock.
New magma is pressured to the surface of the volcano.
The volcano bursts through the rock the formed after the last eruption.",What causes an earthquake? ,"Tectonic plates move, causing pressure to build up underground.
The pressure can cause a fault line to break in the rock, releasing molten rock.
The molten rock is pushed upwards, breaking through the surface of the ground.
The lava cools and hardens, forming new layers of rock.
The plates continue to move, building up pressure again.
When it becomes too much, the molten rock is forced to the surface again, breaking through the hardened rock of the previous eruption.","Magma : molten rock
Volcanos : ground
Pressure : tectonic plates
Lava : lava"
7,What causs a volcano to erupt?,"Magma rises from deep in the earth.
The magma goes into volcanos.
The volcanos pressure the magma upwards.
The pressure causes the magma to push through the surface of the volcano.
The lava cools.
The lava forms new rock.
New magma is pressured to the surface of the volcano.
The volcano bursts through the rock the formed after the last eruption.",What causes a volcano to erupt?,"Pressure builds up deep in the Earth.
The pressure forces molten rock to rise from the mantle and enter the crust.
The molten rock, called magma, rises and collects in a magma chamber.
The magma chamber builds pressure and pressure is released through vents in the form of eruptions.
The eruption releases lava, ash, and gas into the atmosphere.
The lava cools and hardens, creating new landforms.","Magma : molten rock
Volcanos : vents
Lava : lava, ash, and gas"
11,What happens during erosion by the ocean?,"Water from the ocean washes onto beaches in waves.
The waves contain sediment from the ocean.
The water and particles in it hit rocks and sand on the beach.
The wind and current sometimes push the water and particles harder.
Tiny parts of the rocks on the shore come off the larger rocks.
The waves pick up sand and small rocks from the beach.
The waves go back out into the ocean.
The waves carry the new particles with them.
Rocks and the beach look a little different.",What happens during erosion by the rain?,"Rainfall on the land causes soil to become saturated.
The saturated soil begins to erode and break down.
The wind and rain can also cause the soil to erode faster, carrying away particles and sediment.
The rain and wind carry the particles and sediment and deposit them in other areas.
Over time, the land changes in shape and size as the soil is eroded away.","Waves : rainfall
Ocean : land
Rocks and sand : soil
Wind and current : rain and wind"
11,What happens during erosion by the ocean?,"Water from the ocean washes onto beaches in waves.
The waves contain sediment from the ocean.
The water and particles in it hit rocks and sand on the beach.
The wind and current sometimes push the water and particles harder.
Tiny parts of the rocks on the shore come off the larger rocks.
The waves pick up sand and small rocks from the beach.
The waves go back out into the ocean.
The waves carry the new particles with them.
Rocks and the beach look a little different.",What happens during erosion by the wind?,"Wind blows across a open field causing the topsoil to be picked up.
The wind carries the soil particles to a new location.
The wind and current sometimes push the soil particles harder.
The soil particles hit rocks, trees, and other objects in the field.
The soil particles are deposited into new locations.
The wind carries the new particles with it.
The field and the objects look a little different.","Water from the ocean : wind
Waves : wind
Sediment from the ocean : soil particles
Rocks and sand on the beach : rocks, trees, and other objects
Small rocks from the beach : soil particles
Waves go back out into the ocean : wind carries the new particles with it"
11,What happens during erosion by the ocean?,"Water from the ocean washes onto beaches in waves.
The waves contain sediment from the ocean.
The water and particles in it hit rocks and sand on the beach.
The wind and current sometimes push the water and particles harder.
Tiny parts of the rocks on the shore come off the larger rocks.
The waves pick up sand and small rocks from the beach.
The waves go back out into the ocean.
The waves carry the new particles with them.
Rocks and the beach look a little different.",What happens during erosion by rain?,"Rainfall washes down the side of the mountain.
The rainfall contains sediment from the mountain.
The water and particles in it hit rocks and soil on the mountain.
The wind and current sometimes push the water and particles harder.
Tiny parts of the rocks on the mountain come off the larger rocks.
The rainfall picks up sediment and small rocks from the mountain.
The rainfall runs down the mountain and into the valley.
The rainfall carries the new particles with them.
Rocks and the mountain look a little different.","ocean : mountain
beaches : mountain
waves : rainfall
sediment : sediment
rocks and sand : rocks and soil"
13,What happens during the water cycle?,"Water from oceans, lakes, swamps, rivers, and plants turns into water vapor.
Water vapor condenses into millions of tiny droplets that form clouds.
Clouds lose these droplets through rain or snow, also caused precipitation.
Precipitation is either absorbed into the ground or runs off into rivers.
Water that was absorbed into the ground is taken up by plants.
Plants lose water from their surfaces as vapor.
The vapor goes back into the atmosphere.
Water that runs off into rivers flows into ponds, lakes, or oceans.
The water evaporates back into the atmosphere.",What happens during the precipitation cycle?,"Gases in the atmosphere mix together and form tiny particles.
These particles mix with water vapor and form clouds.
The clouds grow and release droplets of water in the form of rain or snow.
The rain or snow falls to the ground and either evaporates or infiltrates the soil.
The infiltrated water flows into rivers and lakes, eventually reaching the ocean.
The ocean water evaporates and goes back into the atmosphere, beginning the cycle again.","Water from oceans, lakes, swamps, rivers, and plants : gases
Water vapor : tiny particles
Clouds : clouds
Rain or snow : rain or snow
Evaporation : evaporation
Infiltration : infiltration"
13,What happens during the water cycle?,"Water from oceans, lakes, swamps, rivers, and plants turns into water vapor.
Water vapor condenses into millions of tiny droplets that form clouds.
Clouds lose these droplets through rain or snow, also caused precipitation.
Precipitation is either absorbed into the ground or runs off into rivers.
Water that was absorbed into the ground is taken up by plants.
Plants lose water from their surfaces as vapor.
The vapor goes back into the atmosphere.
Water that runs off into rivers flows into ponds, lakes, or oceans.
The water evaporates back into the atmosphere.",How does the atmosphere transfer energy?,"Heat energy from the sun is absorbed by the earth's surface.
This energy is then transferred to the atmosphere through convection.
The atmosphere is warmed and air rises, cooling as it moves higher.
The cooling air causes condensation, forming clouds.
Clouds release water vapor as precipitation, which falls to the ground.
The precipitation is either absorbed into the ground or evaporates back into the atmosphere.
The water that is absorbed by the ground is taken up by plants,
which then release it back into the atmosphere as vapor.
The vapor then condenses, forming clouds again and continuing the cycle.","
water from oceans, lakes, swamps, rivers, and plants : heat energy from the sun
water vapor : air
clouds : atmosphere
rain or snow : precipitation
plants : ground"
13,What happens during the water cycle?,"Water from oceans, lakes, swamps, rivers, and plants turns into water vapor.
Water vapor condenses into millions of tiny droplets that form clouds.
Clouds lose these droplets through rain or snow, also caused precipitation.
Precipitation is either absorbed into the ground or runs off into rivers.
Water that was absorbed into the ground is taken up by plants.
Plants lose water from their surfaces as vapor.
The vapor goes back into the atmosphere.
Water that runs off into rivers flows into ponds, lakes, or oceans.
The water evaporates back into the atmosphere.",What happens during the energy cycle?,"Energy from the sun is captured by the land and ocean.
The energy is converted into heat, which then rises into the atmosphere.
Here, the warm air is pushed up to form clouds, and eventually causes rain or snow.
Rain or snow that falls on the ground is either absorbed into the soil or runs off into rivers.
The absorbed water is taken up by plants, which then release the water back into the atmosphere.
The water that runs off into rivers eventually finds its way to the ocean,
where it evaporates back into the atmosphere, completing the cycle. ","
water : energy
water vapor : heat
clouds : atmosphere
precipitation : rain or snow
ground : soil
plants : plants
vapor : water"
14,What happens during the water cycle?,"Water from oceans, lakes, rivers, swamps, and plants turns into water vapor.
Water vapor forms droplets in clouds.
Water droplets in clouds become rain or snow and fall.
Some water goes into the ground.
Some water flows down streams into rivers and oceans.",What happens during the hydrological cycle?,"Heat from the sun evaporates moisture from the ground and plants.
The water vapor rises and cools, forming clouds.
The clouds become heavy with the moisture and precipitation falls in the form of rain or snow.
Some of the water returns to the ground or is taken up by plants,
while the rest flows into rivers and eventually back to the ocean.","Water : moisture
Oceans, lakes, rivers, swamps, and plants : ground and plants
Water vapor : water vapor
Droplets : clouds
Rain or snow : precipitation"
