source_id,source_subject,source_text,target_subject,target_domain,target_text,target_mappings
7,What causs a volcano to erupt?,"Magma rises from deep in the earth.
The magma goes into volcanos.
The volcanos pressure the magma upwards.
The pressure causes the magma to push through the surface of the volcano.
The lava cools.
The lava forms new rock.
New magma is pressured to the surface of the volcano.
The volcano bursts through the rock the formed after the last eruption.",How does electricity get distributed?,Electrical Engineering,"Electricity is generated in a power plant.
The electricity is sent to the transmission lines.
The transmission lines carry the electricity to the load centers.
The load centers distribute electricity to the users.
The electricity is sent through the user's distribution lines,
which can be overloaded if the demand is too high.","Magma : Electricity
Volcano : Power plant
Pressure : Transmission Lines
Lava : Load Centers
New Rock : User's Distribution Lines"
7,What causs a volcano to erupt?,"Magma rises from deep in the earth.
The magma goes into volcanos.
The volcanos pressure the magma upwards.
The pressure causes the magma to push through the surface of the volcano.
The lava cools.
The lava forms new rock.
New magma is pressured to the surface of the volcano.
The volcano bursts through the rock the formed after the last eruption.",How does a dam fail?,Mechanical Engineering,"Pressure builds up in a dam from the force of water.
The pressure causes the dam to crack and break.
The water is released and rushes out of the dam.
The force of the water causes the surrounding area to flood.
The flood waters then recede and the area is left with the damage caused by the force of the water.","Magma : Pressure
Volcano : Dam
Lava : Water
Rock : Surrounding Area"
7,What causs a volcano to erupt?,"Magma rises from deep in the earth.
The magma goes into volcanos.
The volcanos pressure the magma upwards.
The pressure causes the magma to push through the surface of the volcano.
The lava cools.
The lava forms new rock.
New magma is pressured to the surface of the volcano.
The volcano bursts through the rock the formed after the last eruption.",What happens during an exothermic reaction?,Chemical Engineering,"A chemical reaction produces heat.
The heat causes the reactants to move through the solution.
The reactants pass through a catalyst, where their reactivity is increased.
The catalyst increases the pressure in the reaction vessel,
causing the reactants to be forced out of the vessel and into the environment.","magma : reactants
volcanos : reaction vessel
pressure : catalyst
lava : products
new rock : environment"
7,What causs a volcano to erupt?,"Magma rises from deep in the earth.
The magma goes into volcanos.
The volcanos pressure the magma upwards.
The pressure causes the magma to push through the surface of the volcano.
The lava cools.
The lava forms new rock.
New magma is pressured to the surface of the volcano.
The volcano bursts through the rock the formed after the last eruption.",What causes an object to fall into a black hole?,Physics,"An object falls near a black hole.
The object is pulled towards the black hole due to its gravitational force.
As the object is pulled closer to the black hole, the gravitational force increases.
The increased gravitational force pulls the object faster and faster, until it reaches the event horizon and can no longer escape the pull of the black hole's gravity.","Magma : Object
Volcano : Black Hole
Pressure : Gravitational Force
Lava : Event Horizon"
7,What causs a volcano to erupt?,"Magma rises from deep in the earth.
The magma goes into volcanos.
The volcanos pressure the magma upwards.
The pressure causes the magma to push through the surface of the volcano.
The lava cools.
The lava forms new rock.
New magma is pressured to the surface of the volcano.
The volcano bursts through the rock the formed after the last eruption.",How does a flower bloom?,Biology,"A flower blooms when it receives the right amount of sunlight, water, and nutrients.
The flower absorbs sunlight and water through its roots and petals.
The nutrients are absorbed through the soil.
The flower uses the sunlight, water, and nutrients to create energy in the form of ATP.
This energy is used to power the growth of the flower, making it bloom.","Magma : Sunlight, Water, and Nutrients
Volcanos : Flower
Pressure : Roots and Petals
Lava : Soil
Cooling : ATP
New Rock : Growth"
7,What causs a volcano to erupt?,"Magma rises from deep in the earth.
The magma goes into volcanos.
The volcanos pressure the magma upwards.
The pressure causes the magma to push through the surface of the volcano.
The lava cools.
The lava forms new rock.
New magma is pressured to the surface of the volcano.
The volcano bursts through the rock the formed after the last eruption.",How do chemical reactions create gas?,Chemistry,"Chemical reactions create heat.
The heat causes molecules to move through a solution.
The increased temperature and pressure causes the molecules to escape the solution and form a gas.
This gas expands and builds pressure in the solution.
The pressure causes the gas to escape from the solution, resulting in a chemical reaction.","Magma : heat
Volcano : solution
Lava : gas
Rock : molecules"
11,What happens during erosion by the ocean?,"Water from the ocean washes onto beaches in waves.
The waves contain sediment from the ocean.
The water and particles in it hit rocks and sand on the beach.
The wind and current sometimes push the water and particles harder.
Tiny parts of the rocks on the shore come off the larger rocks.
The waves pick up sand and small rocks from the beach.
The waves go back out into the ocean.
The waves carry the new particles with them.
Rocks and the beach look a little different.",How does electrical current cause wire degradation?,Electrical Engineering,"Electric current flows through a wire.
The current carries energy in the form of electrons.
The electrons hit the walls of the wire, causing friction.
This friction generates heat, which can damage the wire.
The electric current can also cause corrosion of the wire,
causing it to degrade over time.","water : electric current
sediment : electrons
rocks : walls of the wire
sand : wire
wind : friction
current : heat"
11,What happens during erosion by the ocean?,"Water from the ocean washes onto beaches in waves.
The waves contain sediment from the ocean.
The water and particles in it hit rocks and sand on the beach.
The wind and current sometimes push the water and particles harder.
Tiny parts of the rocks on the shore come off the larger rocks.
The waves pick up sand and small rocks from the beach.
The waves go back out into the ocean.
The waves carry the new particles with them.
Rocks and the beach look a little different.",How does air turbulence cause erosion on an airplane wing?,Mechanical Engineering,"Air flows over an airplane wing.
The air moving over the wing causes turbulence.
The turbulence causes drag on the wing, reducing the lift of the plane.
The turbulence also causes small particles to be pulled off the wing,
causing the wing to erode over time.","Water : Air
Sediment : Turbulence
Rocks and Sand : Plane Wing
Wind and Current : Lift
Small Rocks : Particles
Waves : Drag"
11,What happens during erosion by the ocean?,"Water from the ocean washes onto beaches in waves.
The waves contain sediment from the ocean.
The water and particles in it hit rocks and sand on the beach.
The wind and current sometimes push the water and particles harder.
Tiny parts of the rocks on the shore come off the larger rocks.
The waves pick up sand and small rocks from the beach.
The waves go back out into the ocean.
The waves carry the new particles with them.
Rocks and the beach look a little different.",How does distillation work?,Chemical Engineering,"A reaction is conducted in a container.
The reaction contains reactants that are mixed together.
The reactants react and form products.
The products are then separated from the reactants by distillation.
The reactants and products have different boiling points,
allowing them to be separated from each other.","ocean : container
waves : reactants
sediment : products
rocks : boiling points"
11,What happens during erosion by the ocean?,"Water from the ocean washes onto beaches in waves.
The waves contain sediment from the ocean.
The water and particles in it hit rocks and sand on the beach.
The wind and current sometimes push the water and particles harder.
Tiny parts of the rocks on the shore come off the larger rocks.
The waves pick up sand and small rocks from the beach.
The waves go back out into the ocean.
The waves carry the new particles with them.
Rocks and the beach look a little different.",How does light create sound?,Physics,"Light from the sun hits objects on Earth.
The light is absorbed by the objects, causing them to heat up.
The heat energy causes the objects to expand and contract.
The expansion and contraction cause the objects to vibrate and create sound waves.
The sound waves travel through the air and can be heard by humans.","Water : Light
Particles : Objects
Wind/Current : Heat Energy
Rocks : Expansion/Contraction
Sand : Vibration
Ocean : Sound Waves"
11,What happens during erosion by the ocean?,"Water from the ocean washes onto beaches in waves.
The waves contain sediment from the ocean.
The water and particles in it hit rocks and sand on the beach.
The wind and current sometimes push the water and particles harder.
Tiny parts of the rocks on the shore come off the larger rocks.
The waves pick up sand and small rocks from the beach.
The waves go back out into the ocean.
The waves carry the new particles with them.
Rocks and the beach look a little different.",What happens during biological invasion?,Biology,"A species of plant is introduced to an area.
The species grows and spreads, consuming resources and displacing native species.
The native species are unable to compete for resources, leading to their decline.
The introduced species eventually dominates the area, leaving the native species extinct or rare.","Water : Species
Sediment : Resources
Rocks : Native Species
Sand : Introduced Species
Wind and Current : Competition
Particles : Extinction or Rarity"
