source_id,source_subject,source_domain,target_domain,target_subject,target_field,mappings
7,What causs a volcano to erupt?,Natural Sciences,Engineering, What causes a geothermal power plant to generate electricity?,Mechanical Engineering,"Volcano : Geothermal Power Plant
Magma : Hot Water
Pressure : Pressure
Heat : Heat
Lava : Steam"
7,What causs a volcano to erupt?,Natural Sciences,Natural Sciences,What causes an earthquake?,Geology,"Volcano : Fault Line
Magma : Tectonic Plates
Lava : Movement of Plates
Ash : Seismic Waves
Gases : Tremors"
7,What causs a volcano to erupt?,Natural Sciences,Social Sciences, What causes social unrest?,Sociology,"Volcano : Society
Magma : Social Issues
Plate Tectonics : Structural Inequality
Pressure : Discontent
Heat : Unmet Needs"
11,What happens during erosion by the ocean?,Natural Sciences,Engineering, What happens during erosion by the wind?,Civil Engineering,"Ocean : Wind
Waves : Gusts
Sand : Dust
Sediments : Particles
Currents : Airflow"
11,What happens during erosion by the ocean?,Natural Sciences,Natural Sciences,What happens during weathering by the atmosphere?,Geology,"Ocean : Atmosphere
Erosion : Weathering
Waves : Wind
Tides : Temperature Changes
Sediments : Rain and Snow"
11,What happens during erosion by the ocean?,Natural Sciences,Social Sciences, What happens during immigration?,Political Science,"Ocean : Country
Erosion : Immigration
Waves : People
Currents : Laws
Sediment : Cultural Differences"
13,What happens during the water cycle?,Natural Sciences,Engineering, What happens during the refrigeration cycle?,Mechanical Engineering,"Water : Refrigerant
Evaporation : Evaporation
Condensation : Condensation
Precipitation : Condensation
Collection : Collection"
13,What happens during the water cycle?,Natural Sciences,Natural Sciences, What happens during the carbon cycle?,Biology,"Water : Carbon
Evaporation : Respiration
Condensation : Decomposition
Precipitation : Photosynthesis
Runoff : Combustion"
13,What happens during the water cycle?,Natural Sciences,Social Sciences, What happens during the economic cycle?,Economics,"Water cycle : Economic cycle
Evaporation : Investment
Condensation : Production
Precipitation : Consumption
Runoff : Savings"
14,What happens during the water cycle?,Natural Sciences,Engineering,What happens during the refrigeration cycle?,Mechanical Engineering,"Water Cycle : Refrigeration Cycle
Evaporation : Evaporation
Condensation : Condensation
Precipitation : Compression
Collection : Expansion"
14,What happens during the water cycle?,Natural Sciences,Natural Sciences, What happens during the carbon cycle?,Biology,"Water : Carbon
Evaporation : Respiration
Condensation : Decomposition
Precipitation : Photosynthesis
Runoff : Uptake"
14,What happens during the water cycle?,Natural Sciences,Social Sciences, What happens during the economic cycle?,Economics,"
Evaporation : Production 
Condensation : Consumption 
Precipitation : Investment 
Groundwater : Savings 
Surface Water : Government Spending"
15,What happens during the water cycle?,Natural Sciences,Engineering,What happens during the cycle of an air conditioning system?,Mechanical Engineering,"Water cycle : Cycle of an air conditioning system 
Evaporation : Evaporator 
Condensation : Condenser 
Precipitation : Collection of condensed liquid 
Transpiration : Compressor"
15,What happens during the water cycle?,Natural Sciences,Natural Sciences, What happens during the carbon cycle?,Biology,"Water : Carbon
Evaporation : Respiration
Condensation : Photosynthesis
Precipitation : Decomposition
Groundwater : Fossil Fuels"
15,What happens during the water cycle?,Natural Sciences,Social Sciences, What happens during the economic cycle?,Economics,"Water : Money
Evaporation : Investment
Condensation : Savings
Precipitation : Consumption
Groundwater : Taxation"
20,How is sediment transported across the Earth?,Natural Sciences,Engineering, How does a conveyor belt system work?,Mechanical Engineering,"Sediment : Materials
Earth : Conveyor Belt
Wind : Motor
Gravity : Belt
Rivers : Rollers"
20,How is sediment transported across the Earth?,Natural Sciences,Natural Sciences, How is energy transported across the Earth?,Physics ,"Sediment : Energy 
Rivers : Waves 
Ocean : Particles 
Wind : Radiation 
Gravity : Gravity"
20,How is sediment transported across the Earth?,Natural Sciences,Social Sciences, How is information transported across cultures?,Anthropology,"Sediment : Information
Earth : Culture
Wind : Communication
Currents : Interactions
Waves : Exchange"
22,How are valleys formed?,Natural Sciences,Engineering, How are tunnels formed?,Civil Engineering,"Valleys : Tunnels
Erosion : Excavation
River : Construction Equipment
Mountain : Earth and Rock"
22,How are valleys formed?,Natural Sciences,Natural Sciences, How are mountains formed?,Geology,"Valley : Mountain
Erosion : Tectonic Activity
Rivers : Plates
Deposition : Magma"
22,How are valleys formed?,Natural Sciences,Social Sciences, How is the landscape shaped by human activity?,Geography,"Valleys : Landscape
Erosion : Human Activity
Rivers : Agricultural Practices
Glaciers : Urban Development
Tectonic Plates : Industrialization"
31,How do caverns form?,Natural Sciences,Engineering, How does the hydraulic erosion work?,Civil Engineering,"Caverns : Rivers
Water : Water Flow
Rocks : Rocks
Ground : Soil
Gravity : Gravity"
31,How do caverns form?,Natural Sciences,Natural Sciences, How do mountains form?,Geology,"Caverns : Mountains
Dissolution : Uplift
Carbonic Acid : Tectonic Forces
Limestone : Rocks
Stalactites : Valleys"
